product,issue,sub_product,complaint_id,timely,company_response,submitted_via,company,date_received,state,sub_issue,Month_Year,count
Checking or savings account,Closing an account,Checking account,5776618,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",15-07-22,NV,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5778306,Yes,Closed with non-monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",16-07-22,ID,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5778498,Yes,Closed with explanation,Web,DISCOVER BANK,16-07-22,ID,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5778613,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,16-07-22,NJ,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5778639,Yes,Closed with explanation,Web,INDEPENDENT BANK CORP.,17-07-22,MA,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5780397,Yes,Closed with explanation,Web,"CITIZENS FINANCIAL GROUP, INC.",17-07-22,VA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5780608,Yes,Closed with monetary relief,Web,"CITIBANK, N.A.",17-07-22,NJ,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5780835,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,17-07-22,MD,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5780943,Yes,Closed with explanation,Web,PENTAGON FEDERAL CREDIT UNION,17-07-22,NJ,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5782474,Yes,Closed with explanation,Web,NAVY FEDERAL CREDIT UNION,18-07-22,IA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5782640,Yes,Closed with explanation,Phone,"CITIBANK, N.A.",18-07-22,MO,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5782890,Yes,Closed with monetary relief,Web,PNC Bank N.A.,18-07-22,AL,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5782960,Yes,Closed with non-monetary relief,Phone,DISCOVER BANK,18-07-22,OH,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5782970,Yes,Closed with non-monetary relief,Phone,"BANK OF AMERICA, NATIONAL ASSOCIATION",18-07-22,VA,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5783032,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,18-07-22,LA,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5783530,Yes,Closed with non-monetary relief,Web,"CITIBANK, N.A.",18-07-22,AZ,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5784072,Yes,Closed with explanation,Web,M&T BANK CORPORATION,18-07-22,NJ,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5784371,Yes,Closed with explanation,Web,DISCOVER BANK,18-07-22,ME,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5786608,Yes,Closed with explanation,Web,"CITIBANK, N.A.",19-07-22,MN,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5786706,Yes,Closed with explanation,Web,SYNCHRONY FINANCIAL,19-07-22,MI,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5786947,Yes,Closed with explanation,Web,DISCOVER BANK,19-07-22,CT,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5787940,Yes,Closed with explanation,Phone,JPMORGAN CHASE & CO.,19-07-22,CO,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5788227,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",19-07-22,OR,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5788289,Yes,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,19-07-22,AL,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5789782,Yes,Closed with explanation,Web,OLD NATIONAL BANCORP,20-07-22,CO,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5790621,Yes,Closed with explanation,Web,"CITIBANK, N.A.",20-07-22,LA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5790723,Yes,Closed with monetary relief,Web,"CITIBANK, N.A.",20-07-22,AL,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5791766,Yes,Closed with explanation,Web,TRUIST FINANCIAL CORPORATION,20-07-22,OR,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5792368,Yes,Closed with monetary relief,Web,"Coinbase, Inc.",21-07-22,ID,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5794997,Yes,Closed with monetary relief,Postal mail,"BM Technologies, Inc.",21-07-22,CO,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5796529,Yes,Closed with explanation,Web,PNC Bank N.A.,21-07-22,VA,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5796785,Yes,Closed with explanation,Referral,TRUIST FINANCIAL CORPORATION,21-07-22,VA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5796917,Yes,Closed with explanation,Referral,JPMORGAN CHASE & CO.,21-07-22,AZ,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5797079,Yes,Closed with explanation,Web,BANK OF THE WEST,21-07-22,NM,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5797394,Yes,Closed with monetary relief,Web,"CITIBANK, N.A.",21-07-22,LA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5797512,Yes,Closed with explanation,Web,REGIONS FINANCIAL CORPORATION,21-07-22,TN,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5797522,Yes,Closed with explanation,Web,"HUNTINGTON NATIONAL BANK, THE",21-07-22,IN,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5798827,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",21-07-22,SC,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5798981,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,22-07-22,CT,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5800396,Yes,Closed with explanation,Web Referral,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",22-07-22,CT,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5800754,Yes,Closed with explanation,Referral,WELLS FARGO & COMPANY,22-07-22,VA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5801399,Yes,Closed with explanation,Phone,KEYCORP,22-07-22,OH,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5803181,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,23-07-22,OH,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5803568,Yes,Closed with explanation,Web,TRUIST FINANCIAL CORPORATION,24-07-22,AL,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5806292,Yes,Closed with explanation,Phone,PNC Bank N.A.,25-07-22,MD,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5807155,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,25-07-22,VA,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5807258,Yes,Closed with explanation,Web,FIFTH THIRD FINANCIAL CORPORATION,25-07-22,OH,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5811772,Yes,Closed with explanation,Referral,"Block, Inc.",26-07-22,LA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5812220,Yes,Closed with explanation,Phone,"AXOS FINANCIAL, INC.",26-07-22,OH,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5812397,Yes,Closed with non-monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",26-07-22,VA,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5812461,Yes,Closed with explanation,Phone,WELLS FARGO & COMPANY,26-07-22,VA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5812708,Yes,Closed with explanation,Phone,CITY NATIONAL BANK,26-07-22,MT,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5812856,Yes,Closed with non-monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",26-07-22,KY,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5813394,Yes,Closed with non-monetary relief,Web,WELLS FARGO & COMPANY,26-07-22,MD,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5815965,Yes,Closed with explanation,Web,Chime Financial Inc,28-07-22,OH,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5815988,Yes,Closed with non-monetary relief,Web,WELLS FARGO & COMPANY,28-07-22,MA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5816354,Yes,Closed with explanation,Web,DISCOVER BANK,28-07-22,NJ,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5817052,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,27-07-22,NJ,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5819911,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,28-07-22,CO,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5821360,Yes,Closed with non-monetary relief,Web,DISCOVER BANK,28-07-22,KY,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5821660,Yes,Closed with explanation,Web,TRUIST FINANCIAL CORPORATION,29-07-22,OH,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5823428,Yes,Closed with explanation,Web,Chime Financial Inc,29-07-22,MD,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5823889,Yes,Closed with explanation,Web,U.S. BANCORP,29-07-22,ND,Can't close your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5824203,Yes,Closed with non-monetary relief,Web,CAPITAL ONE FINANCIAL CORPORATION,29-07-22,LA,Funds not received from closed account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5826214,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",30-07-22,MD,Company closed your account,31-07-22,1
Checking or savings account,Closing an account,Checking account,5827584,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,31-07-22,AZ,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5829204,Yes,Closed with explanation,Web,"Credit Karma, LLC",1/8/2022,NV,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5832214,Yes,Closed with explanation,Web,"CITIBANK, N.A.",1/8/2022,VA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5832547,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,1/8/2022,OH,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5833127,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,3/8/2022,MA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5833661,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",2/8/2022,MD,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5833803,Yes,Closed with monetary relief,Web,"CITIBANK, N.A.",3/8/2022,NJ,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5834476,Yes,Closed with explanation,Web,Chime Financial Inc,2/8/2022,OK,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5834614,Yes,Closed with explanation,Phone,WELLS FARGO & COMPANY,2/8/2022,SC,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5834696,Yes,Closed with explanation,Web,PNC Bank N.A.,2/8/2022,WI,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5835208,Yes,Closed with explanation,Web,PNC Bank N.A.,2/8/2022,NC,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5835282,Yes,Closed with monetary relief,Web,"HUNTINGTON NATIONAL BANK, THE",2/8/2022,MN,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5835470,Yes,Closed with explanation,Web,"Block, Inc.",2/8/2022,MD,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5836764,Yes,Closed with explanation,Web,"Block, Inc.",2/8/2022,SC,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5837143,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,3/8/2022,NC,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5837633,Yes,Closed with monetary relief,Web,KEYCORP,3/8/2022,OH,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5838093,Yes,Closed with explanation,Referral,PNC Bank N.A.,3/8/2022,NJ,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5839865,Yes,Closed with explanation,Referral,BANK OF THE WEST,2/8/2022,OK,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5841166,Yes,Closed with non-monetary relief,Web,DISCOVER BANK,4/8/2022,UT,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5841616,Yes,Closed with monetary relief,Web,"CITIZENS FINANCIAL GROUP, INC.",3/8/2022,NJ,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5842912,Yes,Closed with non-monetary relief,Web,DISCOVER BANK,5/8/2022,CO,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5843018,Yes,Closed with explanation,Web,AMERICAN EXPRESS COMPANY,4/8/2022,AZ,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5843848,Yes,Closed with non-monetary relief,Web,DISCOVER BANK,4/8/2022,VA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5844247,Yes,Closed with explanation,Web,DISCOVER BANK,4/8/2022,CO,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5844959,Yes,Closed with explanation,Web,TRUIST FINANCIAL CORPORATION,4/8/2022,MD,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5845024,Yes,Closed with non-monetary relief,Phone,SYNCHRONY FINANCIAL,4/8/2022,VA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5845339,Yes,Closed with explanation,Web,TRUIST FINANCIAL CORPORATION,4/8/2022,MA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5846587,Yes,Closed with monetary relief,Web,"HUNTINGTON NATIONAL BANK, THE",5/8/2022,KY,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5847343,Yes,Closed with explanation,Phone,BOK FINANCIAL CORP,5/8/2022,OK,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5848791,Yes,Closed with explanation,Web,JPMORGAN CHASE & CO.,6/8/2022,ID,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5848875,Yes,Closed with explanation,Web,DISCOVER BANK,6/8/2022,WA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5850398,Yes,In progress,Web,CAPITAL ONE FINANCIAL CORPORATION,6/8/2022,TN,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5852883,Yes,Closed with explanation,Web,"UNITED BANKSHARES, INC.",7/8/2022,SC,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5853411,Yes,Closed with explanation,Web,ADP Inc.,7/8/2022,IA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5853792,Yes,Closed with explanation,Web,"CITIZENS FINANCIAL GROUP, INC.",8/8/2022,MI,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5854412,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,8/8/2022,KY,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5855695,Yes,Closed with explanation,Web,U.S. BANCORP,8/8/2022,OR,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5856105,Yes,Closed with monetary relief,Web,"Mercury Technologies, Inc.",8/8/2022,AZ,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5856521,Yes,In progress,Web,Chime Financial Inc,8/8/2022,IL,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5857123,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",9/8/2022,NC,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5857124,Yes,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,9/8/2022,CO,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5859578,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,10/8/2022,MD,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5860197,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,9/8/2022,VA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5860961,Yes,Closed with monetary relief,Phone,"CITIBANK, N.A.",9/8/2022,TN,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5861329,Yes,Closed with monetary relief,Web,PNC Bank N.A.,9/8/2022,NC,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5862455,Yes,Closed with explanation,Web,"Paypal Holdings, Inc",10/8/2022,MA,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5862714,Yes,Closed with non-monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",10/8/2022,NV,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5863525,Yes,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,10/8/2022,NC,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5863930,Yes,Closed with explanation,Web,"Simpson Law Firm, P.A.",10/8/2022,MS,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5864390,Yes,In progress,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",10/8/2022,IL,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5864458,Yes,Closed with non-monetary relief,Phone,JPMORGAN CHASE & CO.,10/8/2022,IL,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5864534,Yes,In progress,Referral,"BANK OF AMERICA, NATIONAL ASSOCIATION",10/8/2022,NM,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5864770,Yes,Closed with explanation,Web,"CITIZENS FINANCIAL GROUP, INC.",10/8/2022,MA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5868037,Yes,In progress,Referral,CAPITAL ONE FINANCIAL CORPORATION,10/8/2022,DE,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5868379,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,11/8/2022,MD,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5868821,Yes,In progress,Phone,PNC Bank N.A.,11/8/2022,NJ,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5869169,Yes,In progress,Web,CAPITAL ONE FINANCIAL CORPORATION,11/8/2022,LA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5869732,Yes,Closed with non-monetary relief,Web,"CITIBANK, N.A.",11/8/2022,MA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5870178,Yes,In progress,Web,Chime Financial Inc,12/8/2022,AL,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5870186,Yes,In progress,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",12/8/2022,AL,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5873076,Yes,Closed with explanation,Web Referral,"SANTANDER BANK, NATIONAL ASSOCIATION",11/8/2022,SC,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5873860,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,12/8/2022,LA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5874699,Yes,In progress,Web,Chime Financial Inc,13-08-22,MD,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5875617,Yes,Closed with non-monetary relief,Web,"CITIBANK, N.A.",13-08-22,WA,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5877630,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",14-08-22,WY,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5878793,Yes,Closed with explanation,Web,BANK OF THE WEST,15-08-22,MN,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5878890,Yes,Closed with non-monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",15-08-22,NC,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5880162,Yes,Closed with non-monetary relief,Web,U.S. BANCORP,15-08-22,UT,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5880175,Yes,Closed with monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",15-08-22,AZ,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5880811,Yes,Closed with explanation,Web,"HUNTINGTON NATIONAL BANK, THE",15-08-22,MI,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5881087,Yes,Closed with explanation,Web,TRUIST FINANCIAL CORPORATION,15-08-22,IN,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5881650,Yes,Closed with explanation,Web,"SANTANDER BANK, NATIONAL ASSOCIATION",16-08-22,NC,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5882827,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",16-08-22,NV,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5883638,Yes,Closed with explanation,Web,Albert Corporation,16-08-22,MI,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5883970,Yes,In progress,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",16-08-22,PA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5884153,Yes,Closed with explanation,Web,M&T BANK CORPORATION,16-08-22,CT,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5884170,Yes,Closed with explanation,Web,"SANTANDER BANK, NATIONAL ASSOCIATION",16-08-22,NJ,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5884293,Yes,Closed with explanation,Web,"CITIZENS FINANCIAL GROUP, INC.",17-08-22,NJ,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5885041,Yes,In progress,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",16-08-22,MI,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5887033,Yes,Closed with non-monetary relief,Web,TD BANK US HOLDING COMPANY,17-08-22,NJ,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5887075,Yes,In progress,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",17-08-22,NJ,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5887678,Yes,Closed with explanation,Web,"CITIBANK, N.A.",17-08-22,NC,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5888596,Yes,Closed with explanation,Referral,"CULLEN/FROST BANKERS, INC.",17-08-22,AR,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5889197,Yes,Closed with monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",17-08-22,SC,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5890441,Yes,Closed with explanation,Web,"CITIBANK, N.A.",17-08-22,WA,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5890905,Yes,Closed with explanation,Web,Chime Financial Inc,17-08-22,AZ,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5891735,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,19-08-22,MD,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5893586,Yes,In progress,Web,NAVY FEDERAL CREDIT UNION,18-08-22,MI,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5894323,Yes,In progress,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",18-08-22,NJ,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5894798,Yes,Closed with non-monetary relief,Web,U.S. BANCORP,18-08-22,MN,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5896040,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,19-08-22,VA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5897208,Yes,In progress,Referral,"BANK OF AMERICA, NATIONAL ASSOCIATION",18-08-22,VA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5897688,Yes,In progress,Web,Chime Financial Inc,19-08-22,IL,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5897863,Yes,Closed with explanation,Web,TRUIST FINANCIAL CORPORATION,19-08-22,AL,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5898024,Yes,In progress,Web,CAPITAL ONE FINANCIAL CORPORATION,19-08-22,CO,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5900310,Yes,Closed with monetary relief,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",20-08-22,WA,Funds not received from closed account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5900348,Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,20-08-22,NV,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5900378,Yes,Closed with explanation,Web,INDEPENDENT BANK CORP.,20-08-22,MA,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5902127,Yes,Closed with explanation,Web,KEYCORP,21-08-22,NY,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5903933,Yes,In progress,Web,NAVY FEDERAL CREDIT UNION,23-08-22,IL,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5904756,Yes,Closed with monetary relief,Web,TRUIST FINANCIAL CORPORATION,22-08-22,PA,Fees charged for closing account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5907059,Yes,Closed with explanation,Web,AMERICAN EXPRESS COMPANY,23-08-22,NY,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5907538,Yes,Closed with non-monetary relief,Web,WELLS FARGO & COMPANY,23-08-22,IN,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5907697,Yes,In progress,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",23-08-22,NV,Company closed your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5908440,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",23-08-22,PA,Can't close your account,31-08-22,1
Checking or savings account,Closing an account,Checking account,5908688,Yes,Closed with explanation,Phone,JPMORGAN CHASE & CO.,23-08-22,NJ,Company closed your account,31-08-22,1
